,,,,,,,,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV
Total US,BC DEPARTMENT,BC CATEGORY,BC SUB CATEGORY,BRAND OWNER HIGH,BRAND HIGH,BRAND FAMILY,SHORT PRODUCT DESCRIPTION,Jan 18 - 4 W/E 01/27/18,Feb 18 - 4 W/E 02/24/18,Mar 18 - 5 W/E 03/31/18,Apr 18 - 4 W/E 04/28/18,May 18 - 4 W/E 05/26/18,Jun 18 - 5 W/E 06/30/18,Jul 18 - 4 W/E 07/28/18,Aug 18 - 4 W/E 08/25/18,Sep 18 - 5 W/E 09/29/18,Oct 18 - 4 W/E 10/27/18,Nov 18 - 4 W/E 11/24/18,Dec 18 - 5 W/E 12/29/18,Jan 19 - 4 W/E 01/26/19,Feb 19 - 4 W/E 02/23/19,Mar 19 - 5 W/E 03/30/19,Apr 19 - 4 W/E 04/27/19,May 19 - 4 W/E 05/25/19,Jun 19 - 5 W/E 06/29/19,Jul 19 - 4 W/E 07/27/19,Aug 19 - 4 W/E 08/24/19,Sep 19 - 5 W/E 09/28/19,Oct 19 - 4 W/E 10/26/19,Nov 19 - 4 W/E 11/23/19,Dec 19 - 5 W/E 12/28/19,Jan 20 - 4 W/E 01/25/20,Feb 20 - 4 W/E 02/22/20,Mar 20 - 5 W/E 03/28/20,Apr 20 - 4 W/E 04/25/20,May 20 - 4 W/E 05/23/20,Jun 20 - 5 W/E 06/27/20,Jul 20 - 4 W/E 07/25/20,Aug 20 - 4 W/E 08/22/20,Jan 18 - 4 W/E 01/27/18,Feb 18 - 4 W/E 02/24/18,Mar 18 - 5 W/E 03/31/18,Apr 18 - 4 W/E 04/28/18,May 18 - 4 W/E 05/26/18,Jun 18 - 5 W/E 06/30/18,Jul 18 - 4 W/E 07/28/18,Aug 18 - 4 W/E 08/25/18,Sep 18 - 5 W/E 09/29/18,Oct 18 - 4 W/E 10/27/18,Nov 18 - 4 W/E 11/24/18,Dec 18 - 5 W/E 12/29/18,Jan 19 - 4 W/E 01/26/19,Feb 19 - 4 W/E 02/23/19,Mar 19 - 5 W/E 03/30/19,Apr 19 - 4 W/E 04/27/19,May 19 - 4 W/E 05/25/19,Jun 19 - 5 W/E 06/29/19,Jul 19 - 4 W/E 07/27/19,Aug 19 - 4 W/E 08/24/19,Sep 19 - 5 W/E 09/28/19,Oct 19 - 4 W/E 10/26/19,Nov 19 - 4 W/E 11/23/19,Dec 19 - 5 W/E 12/28/19,Jan 20 - 4 W/E 01/25/20,Feb 20 - 4 W/E 02/22/20,Mar 20 - 5 W/E 03/28/20,Apr 20 - 4 W/E 04/25/20,May 20 - 4 W/E 05/23/20,Jun 20 - 5 W/E 06/27/20,Jul 20 - 4 W/E 07/25/20,Aug 20 - 4 W/E 08/22/20,Jan 18 - 4 W/E 01/27/18,Feb 18 - 4 W/E 02/24/18,Mar 18 - 5 W/E 03/31/18,Apr 18 - 4 W/E 04/28/18,May 18 - 4 W/E 05/26/18,Jun 18 - 5 W/E 06/30/18,Jul 18 - 4 W/E 07/28/18,Aug 18 - 4 W/E 08/25/18,Sep 18 - 5 W/E 09/29/18,Oct 18 - 4 W/E 10/27/18,Nov 18 - 4 W/E 11/24/18,Dec 18 - 5 W/E 12/29/18,Jan 19 - 4 W/E 01/26/19,Feb 19 - 4 W/E 02/23/19,Mar 19 - 5 W/E 03/30/19,Apr 19 - 4 W/E 04/27/19,May 19 - 4 W/E 05/25/19,Jun 19 - 5 W/E 06/29/19,Jul 19 - 4 W/E 07/27/19,Aug 19 - 4 W/E 08/24/19,Sep 19 - 5 W/E 09/28/19,Oct 19 - 4 W/E 10/26/19,Nov 19 - 4 W/E 11/23/19,Dec 19 - 5 W/E 12/28/19,Jan 20 - 4 W/E 01/25/20,Feb 20 - 4 W/E 02/22/20,Mar 20 - 5 W/E 03/28/20,Apr 20 - 4 W/E 04/25/20,May 20 - 4 W/E 05/23/20,Jun 20 - 5 W/E 06/27/20,Jul 20 - 4 W/E 07/25/20,Aug 20 - 4 W/E 08/22/20,Jan 18 - 4 W/E 01/27/18,Feb 18 - 4 W/E 02/24/18,Mar 18 - 5 W/E 03/31/18,Apr 18 - 4 W/E 04/28/18,May 18 - 4 W/E 05/26/18,Jun 18 - 5 W/E 06/30/18,Jul 18 - 4 W/E 07/28/18,Aug 18 - 4 W/E 08/25/18,Sep 18 - 5 W/E 09/29/18,Oct 18 - 4 W/E 10/27/18,Nov 18 - 4 W/E 11/24/18,Dec 18 - 5 W/E 12/29/18,Jan 19 - 4 W/E 01/26/19,Feb 19 - 4 W/E 02/23/19,Mar 19 - 5 W/E 03/30/19,Apr 19 - 4 W/E 04/27/19,May 19 - 4 W/E 05/25/19,Jun 19 - 5 W/E 06/29/19,Jul 19 - 4 W/E 07/27/19,Aug 19 - 4 W/E 08/24/19,Sep 19 - 5 W/E 09/28/19,Oct 19 - 4 W/E 10/26/19,Nov 19 - 4 W/E 11/23/19,Dec 19 - 5 W/E 12/28/19,Jan 20 - 4 W/E 01/25/20,Feb 20 - 4 W/E 02/22/20,Mar 20 - 5 W/E 03/28/20,Apr 20 - 4 W/E 04/25/20,May 20 - 4 W/E 05/23/20,Jun 20 - 5 W/E 06/27/20,Jul 20 - 4 W/E 07/25/20,Aug 20 - 4 W/E 08/22/20
Total US,BC DEPARTMENT,BC CATEGORY,BC SUB CATEGORY,BRAND OWNER HIGH,BRAND HIGH,BRAND FAMILY,SHORT PRODUCT DESCRIPTION,$ Jan 18 - 4 W/E 01/27/18,$ Feb 18 - 4 W/E 02/24/18,$ Mar 18 - 5 W/E 03/31/18,$ Apr 18 - 4 W/E 04/28/18,$ May 18 - 4 W/E 05/26/18,$ Jun 18 - 5 W/E 06/30/18,$ Jul 18 - 4 W/E 07/28/18,$ Aug 18 - 4 W/E 08/25/18,$ Sep 18 - 5 W/E 09/29/18,$ Oct 18 - 4 W/E 10/27/18,$ Nov 18 - 4 W/E 11/24/18,$ Dec 18 - 5 W/E 12/29/18,$ Jan 19 - 4 W/E 01/26/19,$ Feb 19 - 4 W/E 02/23/19,$ Mar 19 - 5 W/E 03/30/19,$ Apr 19 - 4 W/E 04/27/19,$ May 19 - 4 W/E 05/25/19,$ Jun 19 - 5 W/E 06/29/19,$ Jul 19 - 4 W/E 07/27/19,$ Aug 19 - 4 W/E 08/24/19,$ Sep 19 - 5 W/E 09/28/19,$ Oct 19 - 4 W/E 10/26/19,$ Nov 19 - 4 W/E 11/23/19,$ Dec 19 - 5 W/E 12/28/19,$ Jan 20 - 4 W/E 01/25/20,$ Feb 20 - 4 W/E 02/22/20,$ Mar 20 - 5 W/E 03/28/20,$ Apr 20 - 4 W/E 04/25/20,$ May 20 - 4 W/E 05/23/20,$ Jun 20 - 5 W/E 06/27/20,$ Jul 20 - 4 W/E 07/25/20,$ Aug 20 - 4 W/E 08/22/20,Units Jan 18 - 4 W/E 01/27/18,Units Feb 18 - 4 W/E 02/24/18,Units Mar 18 - 5 W/E 03/31/18,Units Apr 18 - 4 W/E 04/28/18,Units May 18 - 4 W/E 05/26/18,Units Jun 18 - 5 W/E 06/30/18,Units Jul 18 - 4 W/E 07/28/18,Units Aug 18 - 4 W/E 08/25/18,Units Sep 18 - 5 W/E 09/29/18,Units Oct 18 - 4 W/E 10/27/18,Units Nov 18 - 4 W/E 11/24/18,Units Dec 18 - 5 W/E 12/29/18,Units Jan 19 - 4 W/E 01/26/19,Units Feb 19 - 4 W/E 02/23/19,Units Mar 19 - 5 W/E 03/30/19,Units Apr 19 - 4 W/E 04/27/19,Units May 19 - 4 W/E 05/25/19,Units Jun 19 - 5 W/E 06/29/19,Units Jul 19 - 4 W/E 07/27/19,Units Aug 19 - 4 W/E 08/24/19,Units Sep 19 - 5 W/E 09/28/19,Units Oct 19 - 4 W/E 10/26/19,Units Nov 19 - 4 W/E 11/23/19,Units Dec 19 - 5 W/E 12/28/19,Units Jan 20 - 4 W/E 01/25/20,Units Feb 20 - 4 W/E 02/22/20,Units Mar 20 - 5 W/E 03/28/20,Units Apr 20 - 4 W/E 04/25/20,Units May 20 - 4 W/E 05/23/20,Units Jun 20 - 5 W/E 06/27/20,Units Jul 20 - 4 W/E 07/25/20,Units Aug 20 - 4 W/E 08/22/20,Avg EQ Price Jan 18 - 4 W/E 01/27/18,Avg EQ Price Feb 18 - 4 W/E 02/24/18,Avg EQ Price Mar 18 - 5 W/E 03/31/18,Avg EQ Price Apr 18 - 4 W/E 04/28/18,Avg EQ Price May 18 - 4 W/E 05/26/18,Avg EQ Price Jun 18 - 5 W/E 06/30/18,Avg EQ Price Jul 18 - 4 W/E 07/28/18,Avg EQ Price Aug 18 - 4 W/E 08/25/18,Avg EQ Price Sep 18 - 5 W/E 09/29/18,Avg EQ Price Oct 18 - 4 W/E 10/27/18,Avg EQ Price Nov 18 - 4 W/E 11/24/18,Avg EQ Price Dec 18 - 5 W/E 12/29/18,Avg EQ Price Jan 19 - 4 W/E 01/26/19,Avg EQ Price Feb 19 - 4 W/E 02/23/19,Avg EQ Price Mar 19 - 5 W/E 03/30/19,Avg EQ Price Apr 19 - 4 W/E 04/27/19,Avg EQ Price May 19 - 4 W/E 05/25/19,Avg EQ Price Jun 19 - 5 W/E 06/29/19,Avg EQ Price Jul 19 - 4 W/E 07/27/19,Avg EQ Price Aug 19 - 4 W/E 08/24/19,Avg EQ Price Sep 19 - 5 W/E 09/28/19,Avg EQ Price Oct 19 - 4 W/E 10/26/19,Avg EQ Price Nov 19 - 4 W/E 11/23/19,Avg EQ Price Dec 19 - 5 W/E 12/28/19,Avg EQ Price Jan 20 - 4 W/E 01/25/20,Avg EQ Price Feb 20 - 4 W/E 02/22/20,Avg EQ Price Mar 20 - 5 W/E 03/28/20,Avg EQ Price Apr 20 - 4 W/E 04/25/20,Avg EQ Price May 20 - 4 W/E 05/23/20,Avg EQ Price Jun 20 - 5 W/E 06/27/20,Avg EQ Price Jul 20 - 4 W/E 07/25/20,Avg EQ Price Aug 20 - 4 W/E 08/22/20,%ACV Jan 18 - 4 W/E 01/27/18,%ACV Feb 18 - 4 W/E 02/24/18,%ACV Mar 18 - 5 W/E 03/31/18,%ACV Apr 18 - 4 W/E 04/28/18,%ACV May 18 - 4 W/E 05/26/18,%ACV Jun 18 - 5 W/E 06/30/18,%ACV Jul 18 - 4 W/E 07/28/18,%ACV Aug 18 - 4 W/E 08/25/18,%ACV Sep 18 - 5 W/E 09/29/18,%ACV Oct 18 - 4 W/E 10/27/18,%ACV Nov 18 - 4 W/E 11/24/18,%ACV Dec 18 - 5 W/E 12/29/18,%ACV Jan 19 - 4 W/E 01/26/19,%ACV Feb 19 - 4 W/E 02/23/19,%ACV Mar 19 - 5 W/E 03/30/19,%ACV Apr 19 - 4 W/E 04/27/19,%ACV May 19 - 4 W/E 05/25/19,%ACV Jun 19 - 5 W/E 06/29/19,%ACV Jul 19 - 4 W/E 07/27/19,%ACV Aug 19 - 4 W/E 08/24/19,%ACV Sep 19 - 5 W/E 09/28/19,%ACV Oct 19 - 4 W/E 10/26/19,%ACV Nov 19 - 4 W/E 11/23/19,%ACV Dec 19 - 5 W/E 12/28/19,%ACV Jan 20 - 4 W/E 01/25/20,%ACV Feb 20 - 4 W/E 02/22/20,%ACV Mar 20 - 5 W/E 03/28/20,%ACV Apr 20 - 4 W/E 04/25/20,%ACV May 20 - 4 W/E 05/23/20,%ACV Jun 20 - 5 W/E 06/27/20,%ACV Jul 20 - 4 W/E 07/25/20,%ACV Aug 20 - 4 W/E 08/22/20
Total US xAOC,ALCOHOL,GIN,GIN,10 TORR,10 TORR,10 TORR,10 TR LNDN DRY GIN 750 ML 085526000705,,,,,,33,231,198,297,132,66,66,66,132,476,401,232,493,435,429,696,261,371,748,293,191,323,792,653,462,528,396,,,,,,1,7,6,9,4,2,2,2,4,17,13,8,17,15,15,24,9,13,26,9,6,10,24,20,14,16,12,,,,,,397.47,396.11,395.88,395.88,396.28,395.09,395.09,395.09,396.28,336.04,370.15,348.23,348.04,347.88,343.25,348.05,347.88,342.63,345.31,390.55,382.7,388.12,396.08,392.08,396.11,395.98,395.88,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total US xAOC,ALCOHOL,GIN,GIN,1220 ARTISAN SPIRITS,1220,1220,120 GIN 750 ML 004023233939,,,,,,,,,,,,,,,,,,"1,154",490,70,105,,,,,,,70,"1,097","2,000",664,299,,,,,,,,,,,,,,,,,,33,14,2,3,,,,,,,2,33,63,20,9,,,,,,,,,,,,,,,,,,419.88,419.94,419.04,419.88,,,,,,,419.04,398.93,381.18,398.44,398.55,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,0,0,0,0,0
Total US xAOC,ALCOHOL,GIN,GIN,1220 ARTISAN SPIRITS,1220,1220 ORIGIN,120 ORG GIN 750 ML 005149702538,,,,,,"4,548","6,300","3,997","6,031","4,290","4,511","8,033","5,406","4,719","6,208","5,554","6,461","7,559","6,747","5,617","8,856","5,301","5,563","8,914","6,375","5,859","8,890","7,960","10,255","12,161","9,348","11,906",,,,,,154,216,137,207,147,155,276,186,163,213,191,222,258,231,193,302,180,191,304,218,201,304,271,352,417,322,410,,,,,,354.53,350.14,350.25,349.74,350.32,349.34,349.68,349.4,348.36,349.22,349.81,349.35,351.71,350.62,349.36,352.43,353.32,350.38,351.75,351.49,350.63,351.39,352.15,349.84,349.74,348.49,348.73,,,,,,0,0,0,0.1,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Total US xAOC,ALCOHOL,GIN,GIN,21ST CENTURY SPIRITS LLC,GABRIEL BOUDIER,GABRIEL BOUDIER,GBRL BDR GIN SFRN 750 ML 325256080005,45,9,,,,,,,,,,929,,,,,,,,,35,,,35,,,,,,,,,3,1,,,,,,,,,,28,,,,,,,,,1,,,1,,,,,,,,,179.88,113.86,,,,,,,,,,396.02,,,,,,,,,421.57,,,421.57,,,,,,,,,0,0,,,,,,,,,,0,,,,,,,,,0,,,0,,,,,,,,
Total US xAOC,ALCOHOL,GIN,GIN,375 PARK AVENUE SPIRITS,CAORUNN,CAORUNN,CRN GIN 83.6 PRF 750 ML 063207010024,"4,111","3,783","4,331","3,091","3,123","3,917","3,418","4,536","7,428","3,698","3,532","15,174","4,220",623,"1,198","3,257","1,307",730,"1,264",42,621,227,798,508,79,709,"2,444",505,676,"1,468",74,"1,001",136,123,138,101,108,140,123,166,255,128,127,780,203,33,42,95,35,23,41,1,20,6,22,16,2,23,66,15,20,42,2,32,362.86,369.25,375.93,368.45,348.02,335.89,333.51,327.87,349.24,346.04,334.22,233.66,249.06,226.46,345.56,411.91,442.15,375.98,367.02,505.9,364.12,454.48,431.53,390.9,472.93,373.72,443.48,403.96,396.76,417.56,442.99,373.07,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total US xAOC,ALCOHOL,GIN,GIN,375 PARK AVENUE SPIRITS,VAN GOGH,VAN GOGH,VAN GGH GIN 94 PRF 750 ML 063382412197,,,,,,,"3,000","2,684",,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,158,158,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,228.1,204.09,,,,,,,,,,,361.33,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,,,
Total US xAOC,ALCOHOL,GIN,GIN,45TH PARALLEL SPIRITS LLC,GREEN BAY,GREEN BAY,GRN BAY GIN 80 PRF 750 ML 085969200405,483,276,456,297,414,736,805,548,759,458,522,940,408,322,228,184,253,707,609,617,713,598,299,805,548,316,615,341,475,642,918,879,21,12,20,13,18,32,35,24,31,20,21,39,18,14,10,8,11,31,27,27,31,26,13,35,24,14,27,15,21,28,40,38,276.04,275.88,273.59,274.12,276.06,275.95,275.94,274.02,289.51,274.79,294.3,286.55,272.06,276.04,273.59,276.16,276.08,273.7,270.67,274.22,276.02,275.97,275.97,275.94,274.02,270.89,273.34,272.68,271.46,275.18,275.39,277.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total US xAOC,ALCOHOL,GIN,GIN,45TH PARALLEL SPIRITS LLC,MIDWEST,MIDWEST,MDWS GIN 80 PRF 1000 ML 089541200105,367,326,389,429,636,"1,221","1,577",997,982,536,400,906,568,608,870,533,761,"1,428","1,998","1,678","1,016",548,863,700,516,664,969,995,"1,046","2,381","1,436","1,839",17,15,18,20,30,59,81,49,48,27,20,44,28,30,43,27,38,71,100,83,51,28,43,35,25,32,50,51,53,121,73,92,194.19,195.47,194.41,193.11,190.71,187.66,175.83,183.6,184.05,175.67,179.93,183.99,182.65,180.51,181.17,177.58,178.43,180.75,180.15,181.06,178.44,176.1,178.8,180.03,182.04,184.07,176.1,175.69,176.4,176.74,176.96,179.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
