,,,,,,,,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV
Total US,BC DEPARTMENT,BC CATEGORY,BC SUB CATEGORY,BRAND OWNER HIGH,BRAND HIGH,BRAND FAMILY,SHORT PRODUCT DESCRIPTION,Jan 18 - 4 W/E 01/27/18,Feb 18 - 4 W/E 02/24/18,Mar 18 - 5 W/E 03/31/18,Apr 18 - 4 W/E 04/28/18,May 18 - 4 W/E 05/26/18,Jun 18 - 5 W/E 06/30/18,Jul 18 - 4 W/E 07/28/18,Aug 18 - 4 W/E 08/25/18,Sep 18 - 5 W/E 09/29/18,Oct 18 - 4 W/E 10/27/18,Nov 18 - 4 W/E 11/24/18,Dec 18 - 5 W/E 12/29/18,Jan 19 - 4 W/E 01/26/19,Feb 19 - 4 W/E 02/23/19,Mar 19 - 5 W/E 03/30/19,Apr 19 - 4 W/E 04/27/19,May 19 - 4 W/E 05/25/19,Jun 19 - 5 W/E 06/29/19,Jul 19 - 4 W/E 07/27/19,Aug 19 - 4 W/E 08/24/19,Sep 19 - 5 W/E 09/28/19,Oct 19 - 4 W/E 10/26/19,Nov 19 - 4 W/E 11/23/19,Dec 19 - 5 W/E 12/28/19,Jan 20 - 4 W/E 01/25/20,Feb 20 - 4 W/E 02/22/20,Mar 20 - 5 W/E 03/28/20,Apr 20 - 4 W/E 04/25/20,May 20 - 4 W/E 05/23/20,Jun 20 - 5 W/E 06/27/20,Jul 20 - 4 W/E 07/25/20,Aug 20 - 4 W/E 08/22/20,Jan 18 - 4 W/E 01/27/18,Feb 18 - 4 W/E 02/24/18,Mar 18 - 5 W/E 03/31/18,Apr 18 - 4 W/E 04/28/18,May 18 - 4 W/E 05/26/18,Jun 18 - 5 W/E 06/30/18,Jul 18 - 4 W/E 07/28/18,Aug 18 - 4 W/E 08/25/18,Sep 18 - 5 W/E 09/29/18,Oct 18 - 4 W/E 10/27/18,Nov 18 - 4 W/E 11/24/18,Dec 18 - 5 W/E 12/29/18,Jan 19 - 4 W/E 01/26/19,Feb 19 - 4 W/E 02/23/19,Mar 19 - 5 W/E 03/30/19,Apr 19 - 4 W/E 04/27/19,May 19 - 4 W/E 05/25/19,Jun 19 - 5 W/E 06/29/19,Jul 19 - 4 W/E 07/27/19,Aug 19 - 4 W/E 08/24/19,Sep 19 - 5 W/E 09/28/19,Oct 19 - 4 W/E 10/26/19,Nov 19 - 4 W/E 11/23/19,Dec 19 - 5 W/E 12/28/19,Jan 20 - 4 W/E 01/25/20,Feb 20 - 4 W/E 02/22/20,Mar 20 - 5 W/E 03/28/20,Apr 20 - 4 W/E 04/25/20,May 20 - 4 W/E 05/23/20,Jun 20 - 5 W/E 06/27/20,Jul 20 - 4 W/E 07/25/20,Aug 20 - 4 W/E 08/22/20,Jan 18 - 4 W/E 01/27/18,Feb 18 - 4 W/E 02/24/18,Mar 18 - 5 W/E 03/31/18,Apr 18 - 4 W/E 04/28/18,May 18 - 4 W/E 05/26/18,Jun 18 - 5 W/E 06/30/18,Jul 18 - 4 W/E 07/28/18,Aug 18 - 4 W/E 08/25/18,Sep 18 - 5 W/E 09/29/18,Oct 18 - 4 W/E 10/27/18,Nov 18 - 4 W/E 11/24/18,Dec 18 - 5 W/E 12/29/18,Jan 19 - 4 W/E 01/26/19,Feb 19 - 4 W/E 02/23/19,Mar 19 - 5 W/E 03/30/19,Apr 19 - 4 W/E 04/27/19,May 19 - 4 W/E 05/25/19,Jun 19 - 5 W/E 06/29/19,Jul 19 - 4 W/E 07/27/19,Aug 19 - 4 W/E 08/24/19,Sep 19 - 5 W/E 09/28/19,Oct 19 - 4 W/E 10/26/19,Nov 19 - 4 W/E 11/23/19,Dec 19 - 5 W/E 12/28/19,Jan 20 - 4 W/E 01/25/20,Feb 20 - 4 W/E 02/22/20,Mar 20 - 5 W/E 03/28/20,Apr 20 - 4 W/E 04/25/20,May 20 - 4 W/E 05/23/20,Jun 20 - 5 W/E 06/27/20,Jul 20 - 4 W/E 07/25/20,Aug 20 - 4 W/E 08/22/20,Jan 18 - 4 W/E 01/27/18,Feb 18 - 4 W/E 02/24/18,Mar 18 - 5 W/E 03/31/18,Apr 18 - 4 W/E 04/28/18,May 18 - 4 W/E 05/26/18,Jun 18 - 5 W/E 06/30/18,Jul 18 - 4 W/E 07/28/18,Aug 18 - 4 W/E 08/25/18,Sep 18 - 5 W/E 09/29/18,Oct 18 - 4 W/E 10/27/18,Nov 18 - 4 W/E 11/24/18,Dec 18 - 5 W/E 12/29/18,Jan 19 - 4 W/E 01/26/19,Feb 19 - 4 W/E 02/23/19,Mar 19 - 5 W/E 03/30/19,Apr 19 - 4 W/E 04/27/19,May 19 - 4 W/E 05/25/19,Jun 19 - 5 W/E 06/29/19,Jul 19 - 4 W/E 07/27/19,Aug 19 - 4 W/E 08/24/19,Sep 19 - 5 W/E 09/28/19,Oct 19 - 4 W/E 10/26/19,Nov 19 - 4 W/E 11/23/19,Dec 19 - 5 W/E 12/28/19,Jan 20 - 4 W/E 01/25/20,Feb 20 - 4 W/E 02/22/20,Mar 20 - 5 W/E 03/28/20,Apr 20 - 4 W/E 04/25/20,May 20 - 4 W/E 05/23/20,Jun 20 - 5 W/E 06/27/20,Jul 20 - 4 W/E 07/25/20,Aug 20 - 4 W/E 08/22/20
Total US,BC DEPARTMENT,BC CATEGORY,BC SUB CATEGORY,BRAND OWNER HIGH,BRAND HIGH,BRAND FAMILY,SHORT PRODUCT DESCRIPTION,$ Jan 18 - 4 W/E 01/27/18,$ Feb 18 - 4 W/E 02/24/18,$ Mar 18 - 5 W/E 03/31/18,$ Apr 18 - 4 W/E 04/28/18,$ May 18 - 4 W/E 05/26/18,$ Jun 18 - 5 W/E 06/30/18,$ Jul 18 - 4 W/E 07/28/18,$ Aug 18 - 4 W/E 08/25/18,$ Sep 18 - 5 W/E 09/29/18,$ Oct 18 - 4 W/E 10/27/18,$ Nov 18 - 4 W/E 11/24/18,$ Dec 18 - 5 W/E 12/29/18,$ Jan 19 - 4 W/E 01/26/19,$ Feb 19 - 4 W/E 02/23/19,$ Mar 19 - 5 W/E 03/30/19,$ Apr 19 - 4 W/E 04/27/19,$ May 19 - 4 W/E 05/25/19,$ Jun 19 - 5 W/E 06/29/19,$ Jul 19 - 4 W/E 07/27/19,$ Aug 19 - 4 W/E 08/24/19,$ Sep 19 - 5 W/E 09/28/19,$ Oct 19 - 4 W/E 10/26/19,$ Nov 19 - 4 W/E 11/23/19,$ Dec 19 - 5 W/E 12/28/19,$ Jan 20 - 4 W/E 01/25/20,$ Feb 20 - 4 W/E 02/22/20,$ Mar 20 - 5 W/E 03/28/20,$ Apr 20 - 4 W/E 04/25/20,$ May 20 - 4 W/E 05/23/20,$ Jun 20 - 5 W/E 06/27/20,$ Jul 20 - 4 W/E 07/25/20,$ Aug 20 - 4 W/E 08/22/20,Units Jan 18 - 4 W/E 01/27/18,Units Feb 18 - 4 W/E 02/24/18,Units Mar 18 - 5 W/E 03/31/18,Units Apr 18 - 4 W/E 04/28/18,Units May 18 - 4 W/E 05/26/18,Units Jun 18 - 5 W/E 06/30/18,Units Jul 18 - 4 W/E 07/28/18,Units Aug 18 - 4 W/E 08/25/18,Units Sep 18 - 5 W/E 09/29/18,Units Oct 18 - 4 W/E 10/27/18,Units Nov 18 - 4 W/E 11/24/18,Units Dec 18 - 5 W/E 12/29/18,Units Jan 19 - 4 W/E 01/26/19,Units Feb 19 - 4 W/E 02/23/19,Units Mar 19 - 5 W/E 03/30/19,Units Apr 19 - 4 W/E 04/27/19,Units May 19 - 4 W/E 05/25/19,Units Jun 19 - 5 W/E 06/29/19,Units Jul 19 - 4 W/E 07/27/19,Units Aug 19 - 4 W/E 08/24/19,Units Sep 19 - 5 W/E 09/28/19,Units Oct 19 - 4 W/E 10/26/19,Units Nov 19 - 4 W/E 11/23/19,Units Dec 19 - 5 W/E 12/28/19,Units Jan 20 - 4 W/E 01/25/20,Units Feb 20 - 4 W/E 02/22/20,Units Mar 20 - 5 W/E 03/28/20,Units Apr 20 - 4 W/E 04/25/20,Units May 20 - 4 W/E 05/23/20,Units Jun 20 - 5 W/E 06/27/20,Units Jul 20 - 4 W/E 07/25/20,Units Aug 20 - 4 W/E 08/22/20,Avg EQ Price Jan 18 - 4 W/E 01/27/18,Avg EQ Price Feb 18 - 4 W/E 02/24/18,Avg EQ Price Mar 18 - 5 W/E 03/31/18,Avg EQ Price Apr 18 - 4 W/E 04/28/18,Avg EQ Price May 18 - 4 W/E 05/26/18,Avg EQ Price Jun 18 - 5 W/E 06/30/18,Avg EQ Price Jul 18 - 4 W/E 07/28/18,Avg EQ Price Aug 18 - 4 W/E 08/25/18,Avg EQ Price Sep 18 - 5 W/E 09/29/18,Avg EQ Price Oct 18 - 4 W/E 10/27/18,Avg EQ Price Nov 18 - 4 W/E 11/24/18,Avg EQ Price Dec 18 - 5 W/E 12/29/18,Avg EQ Price Jan 19 - 4 W/E 01/26/19,Avg EQ Price Feb 19 - 4 W/E 02/23/19,Avg EQ Price Mar 19 - 5 W/E 03/30/19,Avg EQ Price Apr 19 - 4 W/E 04/27/19,Avg EQ Price May 19 - 4 W/E 05/25/19,Avg EQ Price Jun 19 - 5 W/E 06/29/19,Avg EQ Price Jul 19 - 4 W/E 07/27/19,Avg EQ Price Aug 19 - 4 W/E 08/24/19,Avg EQ Price Sep 19 - 5 W/E 09/28/19,Avg EQ Price Oct 19 - 4 W/E 10/26/19,Avg EQ Price Nov 19 - 4 W/E 11/23/19,Avg EQ Price Dec 19 - 5 W/E 12/28/19,Avg EQ Price Jan 20 - 4 W/E 01/25/20,Avg EQ Price Feb 20 - 4 W/E 02/22/20,Avg EQ Price Mar 20 - 5 W/E 03/28/20,Avg EQ Price Apr 20 - 4 W/E 04/25/20,Avg EQ Price May 20 - 4 W/E 05/23/20,Avg EQ Price Jun 20 - 5 W/E 06/27/20,Avg EQ Price Jul 20 - 4 W/E 07/25/20,Avg EQ Price Aug 20 - 4 W/E 08/22/20,%ACV Jan 18 - 4 W/E 01/27/18,%ACV Feb 18 - 4 W/E 02/24/18,%ACV Mar 18 - 5 W/E 03/31/18,%ACV Apr 18 - 4 W/E 04/28/18,%ACV May 18 - 4 W/E 05/26/18,%ACV Jun 18 - 5 W/E 06/30/18,%ACV Jul 18 - 4 W/E 07/28/18,%ACV Aug 18 - 4 W/E 08/25/18,%ACV Sep 18 - 5 W/E 09/29/18,%ACV Oct 18 - 4 W/E 10/27/18,%ACV Nov 18 - 4 W/E 11/24/18,%ACV Dec 18 - 5 W/E 12/29/18,%ACV Jan 19 - 4 W/E 01/26/19,%ACV Feb 19 - 4 W/E 02/23/19,%ACV Mar 19 - 5 W/E 03/30/19,%ACV Apr 19 - 4 W/E 04/27/19,%ACV May 19 - 4 W/E 05/25/19,%ACV Jun 19 - 5 W/E 06/29/19,%ACV Jul 19 - 4 W/E 07/27/19,%ACV Aug 19 - 4 W/E 08/24/19,%ACV Sep 19 - 5 W/E 09/28/19,%ACV Oct 19 - 4 W/E 10/26/19,%ACV Nov 19 - 4 W/E 11/23/19,%ACV Dec 19 - 5 W/E 12/28/19,%ACV Jan 20 - 4 W/E 01/25/20,%ACV Feb 20 - 4 W/E 02/22/20,%ACV Mar 20 - 5 W/E 03/28/20,%ACV Apr 20 - 4 W/E 04/25/20,%ACV May 20 - 4 W/E 05/23/20,%ACV Jun 20 - 5 W/E 06/27/20,%ACV Jul 20 - 4 W/E 07/25/20,%ACV Aug 20 - 4 W/E 08/22/20
Total US xAOC,ALCOHOL,TEQUILA,TEQUILA ANEJO,123 SPIRITS,123,123,123 ANJ TQL 80 PRF 750 ML 750301313622,"1,742","2,474","5,114","8,552","9,957","8,005","10,171","5,842","9,231","8,692","13,816","8,555","3,545","3,942","13,360","8,185","5,553","4,378","4,671","6,100","5,736","9,067","8,633","9,790","5,384","7,498","9,665","6,841","14,852","11,691","11,256","9,160",28,46,91,131,193,131,181,105,158,135,228,151,59,68,212,133,89,76,77,99,96,150,189,187,95,136,160,116,241,202,194,159,747.07,645.72,674.44,782.91,619.25,732.71,674.28,670.62,699.2,772.3,727.84,680.65,722.66,697.86,757.88,741.49,748.39,691.14,731.23,741.01,719.69,726.55,548.14,629.67,678.55,660.88,723.88,709.71,740.48,693.2,695.87,693.16,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Total US xAOC,ALCOHOL,TEQUILA,TEQUILA ANEJO,3 BADGE BEVERAGE CORP,PASOTE,PASOTE,PST ANJ TQL 750 ML 085644200519,118,173,177,295,458,407,354,118,458,59,623,276,524,362,630,"2,019",161,439,222,108,666,217,216,435,627,457,217,"1,125","1,880",808,"1,579",309,2,3,3,5,8,7,6,2,8,1,11,5,10,7,12,41,3,8,4,2,12,4,4,8,11,9,4,18,32,16,27,6,705.87,691.88,707.88,707.31,688.21,697.48,707.08,706.47,687.57,710.72,679.9,661.51,628.69,620.81,629.88,590.53,643.48,658.89,666.25,646.59,668.07,651.53,648.23,649.22,670.84,605.14,647.28,733.56,696.09,605.9,705.81,617.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total US xAOC,ALCOHOL,TEQUILA,TEQUILA ANEJO,3 CROWNS DISTRIBUTORS & IMPORTERS LLC,LA GRAN SENORA,LA GRAN SENORA,LA GRN SNR ANJ TQL 80 PRF 750 ML 066318800106,637,"1,747",,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,10,35,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,756.06,600.19,,,,,,,,,,,,,,35.81,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
Total US xAOC,ALCOHOL,TEQUILA,TEQUILA ANEJO,88 SPIRITS CORPORATION,88,88,88 ANJ TQL 80 PRF 750 ML 085808700373,150,,300,200,245,50,300,50,50,150,290,180,225,45,,45,,,,90,45,45,,,40,,,,,,,,3,,6,4,5,1,6,1,1,3,6,4,5,1,,1,,,,2,1,1,,,1,,,,,,,,599.48,,599.26,600.18,587.17,602.29,599.68,601.08,602.29,599.88,579.88,540.42,538.73,542.05,,542.05,,,,538.2,542.05,542.05,,,479.16,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,0,0,0,,,0,,,,,,,
Total US xAOC,ALCOHOL,TEQUILA,TEQUILA ANEJO,AGAVACEAS DE LA LAGUNA,SEMENTAL,SEMENTAL,SMNT ANJ TQL 80 PRF 750 ML 750300930803,,,,,,,,,,,,,90,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,538.8,,,35.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,
Total US xAOC,ALCOHOL,TEQUILA,TEQUILA ANEJO,AGAVES Y TEQUILAS DON PILAR,DON PILAR,DON PILAR,DON PLR ANJ TQL 750 ML 089518900100,,100,,44,284,150,300,250,300,150,96,300,,50,100,50,233,100,50,237,141,70,46,,,859,904,,"1,375",726,,,,2,,1,6,3,6,5,6,3,2,6,,1,2,1,5,2,1,5,3,2,1,,,15,16,,24,13,,,,598.68,,535.3,567.44,599.88,599.88,599.16,599.48,599.48,572.04,599.68,,602.29,598.68,601.08,557.79,598.68,601.08,567.39,563.88,419.04,548.68,,,692.56,693.62,,700.99,688.53,,,,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,,
Total US xAOC,ALCOHOL,TEQUILA,TEQUILA ANEJO,AMBHAR GLOBAL SPIRITS LLC,AMBHAR,AMBHAR,AMBH ANJ TQL 80 PRF 750 ML 087180400396,,50,,,,"1,388",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,602.29,,,,576.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Total US xAOC,ALCOHOL,TEQUILA,TEQUILA ANEJO,AMERICAN WINE DISTRIBUTORS INC,FORTALEZA,FORTALEZA,FRTL ANJ TQL 750 ML 750222196810,"5,818","7,200","24,311","15,093","23,573","28,797","20,533","11,092","17,184","15,687","9,626","38,303","8,834",868,"6,521","12,415","16,291","17,115","12,366","10,118","14,525","4,394","9,690","35,469","10,057","14,689","16,760","19,845","30,688","33,260","34,019","22,983",72,85,292,195,292,352,249,137,214,192,123,477,101,10,84,154,199,230,143,122,178,51,113,423,122,174,204,258,355,384,403,272,969.95,"1,012.07",998.24,930.89,970.3,981.92,989.87,969.66,964.33,979.38,939,963.32,"1,048.02","1,041.74",931.48,969.64,984.99,892.87,"1,035.67",992.69,977.86,"1,032.57","1,029.08","1,006.76",987.59,"1,011.44",985.14,924.21,"1,037.97","1,039.17","1,013.35","1,012.57",0,0,0.1,0,0.1,0.1,0.1,0,0,0,0,0.1,0,0,0,0,0,0.1,0,0,0,0,0,0.1,0,0.1,0,0.1,0.1,0.1,0.1,0.1
