,,,,,,,,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV
Total US,BC DEPARTMENT,BC CATEGORY,BC SUB CATEGORY,BRAND OWNER HIGH,BRAND HIGH,BRAND FAMILY,SHORT PRODUCT DESCRIPTION,Jan 18 - 4 W/E 01/27/18,Feb 18 - 4 W/E 02/24/18,Mar 18 - 5 W/E 03/31/18,Apr 18 - 4 W/E 04/28/18,May 18 - 4 W/E 05/26/18,Jun 18 - 5 W/E 06/30/18,Jul 18 - 4 W/E 07/28/18,Aug 18 - 4 W/E 08/25/18,Sep 18 - 5 W/E 09/29/18,Oct 18 - 4 W/E 10/27/18,Nov 18 - 4 W/E 11/24/18,Dec 18 - 5 W/E 12/29/18,Jan 19 - 4 W/E 01/26/19,Feb 19 - 4 W/E 02/23/19,Mar 19 - 5 W/E 03/30/19,Apr 19 - 4 W/E 04/27/19,May 19 - 4 W/E 05/25/19,Jun 19 - 5 W/E 06/29/19,Jul 19 - 4 W/E 07/27/19,Aug 19 - 4 W/E 08/24/19,Sep 19 - 5 W/E 09/28/19,Oct 19 - 4 W/E 10/26/19,Nov 19 - 4 W/E 11/23/19,Dec 19 - 5 W/E 12/28/19,Jan 20 - 4 W/E 01/25/20,Feb 20 - 4 W/E 02/22/20,Mar 20 - 5 W/E 03/28/20,Apr 20 - 4 W/E 04/25/20,May 20 - 4 W/E 05/23/20,Jun 20 - 5 W/E 06/27/20,Jul 20 - 4 W/E 07/25/20,Aug 20 - 4 W/E 08/22/20,Jan 18 - 4 W/E 01/27/18,Feb 18 - 4 W/E 02/24/18,Mar 18 - 5 W/E 03/31/18,Apr 18 - 4 W/E 04/28/18,May 18 - 4 W/E 05/26/18,Jun 18 - 5 W/E 06/30/18,Jul 18 - 4 W/E 07/28/18,Aug 18 - 4 W/E 08/25/18,Sep 18 - 5 W/E 09/29/18,Oct 18 - 4 W/E 10/27/18,Nov 18 - 4 W/E 11/24/18,Dec 18 - 5 W/E 12/29/18,Jan 19 - 4 W/E 01/26/19,Feb 19 - 4 W/E 02/23/19,Mar 19 - 5 W/E 03/30/19,Apr 19 - 4 W/E 04/27/19,May 19 - 4 W/E 05/25/19,Jun 19 - 5 W/E 06/29/19,Jul 19 - 4 W/E 07/27/19,Aug 19 - 4 W/E 08/24/19,Sep 19 - 5 W/E 09/28/19,Oct 19 - 4 W/E 10/26/19,Nov 19 - 4 W/E 11/23/19,Dec 19 - 5 W/E 12/28/19,Jan 20 - 4 W/E 01/25/20,Feb 20 - 4 W/E 02/22/20,Mar 20 - 5 W/E 03/28/20,Apr 20 - 4 W/E 04/25/20,May 20 - 4 W/E 05/23/20,Jun 20 - 5 W/E 06/27/20,Jul 20 - 4 W/E 07/25/20,Aug 20 - 4 W/E 08/22/20,Jan 18 - 4 W/E 01/27/18,Feb 18 - 4 W/E 02/24/18,Mar 18 - 5 W/E 03/31/18,Apr 18 - 4 W/E 04/28/18,May 18 - 4 W/E 05/26/18,Jun 18 - 5 W/E 06/30/18,Jul 18 - 4 W/E 07/28/18,Aug 18 - 4 W/E 08/25/18,Sep 18 - 5 W/E 09/29/18,Oct 18 - 4 W/E 10/27/18,Nov 18 - 4 W/E 11/24/18,Dec 18 - 5 W/E 12/29/18,Jan 19 - 4 W/E 01/26/19,Feb 19 - 4 W/E 02/23/19,Mar 19 - 5 W/E 03/30/19,Apr 19 - 4 W/E 04/27/19,May 19 - 4 W/E 05/25/19,Jun 19 - 5 W/E 06/29/19,Jul 19 - 4 W/E 07/27/19,Aug 19 - 4 W/E 08/24/19,Sep 19 - 5 W/E 09/28/19,Oct 19 - 4 W/E 10/26/19,Nov 19 - 4 W/E 11/23/19,Dec 19 - 5 W/E 12/28/19,Jan 20 - 4 W/E 01/25/20,Feb 20 - 4 W/E 02/22/20,Mar 20 - 5 W/E 03/28/20,Apr 20 - 4 W/E 04/25/20,May 20 - 4 W/E 05/23/20,Jun 20 - 5 W/E 06/27/20,Jul 20 - 4 W/E 07/25/20,Aug 20 - 4 W/E 08/22/20,Jan 18 - 4 W/E 01/27/18,Feb 18 - 4 W/E 02/24/18,Mar 18 - 5 W/E 03/31/18,Apr 18 - 4 W/E 04/28/18,May 18 - 4 W/E 05/26/18,Jun 18 - 5 W/E 06/30/18,Jul 18 - 4 W/E 07/28/18,Aug 18 - 4 W/E 08/25/18,Sep 18 - 5 W/E 09/29/18,Oct 18 - 4 W/E 10/27/18,Nov 18 - 4 W/E 11/24/18,Dec 18 - 5 W/E 12/29/18,Jan 19 - 4 W/E 01/26/19,Feb 19 - 4 W/E 02/23/19,Mar 19 - 5 W/E 03/30/19,Apr 19 - 4 W/E 04/27/19,May 19 - 4 W/E 05/25/19,Jun 19 - 5 W/E 06/29/19,Jul 19 - 4 W/E 07/27/19,Aug 19 - 4 W/E 08/24/19,Sep 19 - 5 W/E 09/28/19,Oct 19 - 4 W/E 10/26/19,Nov 19 - 4 W/E 11/23/19,Dec 19 - 5 W/E 12/28/19,Jan 20 - 4 W/E 01/25/20,Feb 20 - 4 W/E 02/22/20,Mar 20 - 5 W/E 03/28/20,Apr 20 - 4 W/E 04/25/20,May 20 - 4 W/E 05/23/20,Jun 20 - 5 W/E 06/27/20,Jul 20 - 4 W/E 07/25/20,Aug 20 - 4 W/E 08/22/20
Total US xAOC,ALCOHOL,VODKA,VODKA,10 TORR,10 TORR,10 TORR,10 TR VDK 750 ML 085526000700,,,,,,135,297,459,297,189,111,269,164,104,"2,243","1,519","1,000","1,419","1,099","1,079","1,099",960,496,"1,327",472,314,513,"1,130","1,139","1,035",867,840,,,,,,5,11,17,11,7,6,15,13,7,132,78,50,71,55,54,55,48,25,67,19,12,19,46,57,52,43,42,,,,,,323.62,324.12,324.03,324.12,324.07,221.88,215.08,151.31,178.27,203.95,233.83,239.98,239.99,239.95,239.99,239.95,240.00,238.00,237.83,298.43,314.17,323.95,294.77,239.98,239.03,241.92,239.95,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total US xAOC,ALCOHOL,VODKA,VODKA,10TH MOUNTAIN WHISKEY & SPIRIT CO,10TH MOUNTAIN,10TH MOUNTAIN,10TH MNT VDK 80 PRF 750 ML 086825000003,216,646,698,211,574,574,461,415,487,507,833,"1,056",205,372,515,560,744,568,239,578,463,162,283,"1,659",306,351,419,291,439,686,468,522,6,18,20,6,16,16,13,12,14,15,24,30,6,11,16,16,23,17,7,17,14,5,8,47,9,10,12,9,13,21,13,17,430.66,431.09,419.24,422.98,430.91,428.05,423.69,415.16,417.63,405.70,415.14,419.83,406.99,405.12,386.14,419.86,387.79,401.41,409.45,408.47,397.23,388.42,425.36,423.52,407.20,421.16,418.72,388.25,401.12,383.45,431.00,367.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total US xAOC,ALCOHOL,VODKA,VODKA,1220 ARTISAN SPIRITS,1220,1220,120 VDK 750 ML 004023227917,,,,,,,,,,,,240,543,"1,067","1,184",879,604,"1,067","1,253",856,784,524,578,"1,486",712,736,844,449,"1,058","1,218","1,024",543,,,,,,,,,,,,12,26,52,58,41,28,52,61,41,37,25,28,72,33,36,44,22,53,59,47,27,,,,,,,,,,,,239.84,248.93,244.29,243.60,255.53,258.89,246.30,246.59,250.70,254.42,251.57,248.05,247.79,258.87,245.34,230.39,244.72,239.67,247.81,259.97,241.22,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total US xAOC,ALCOHOL,VODKA,VODKA,1220 ARTISAN SPIRITS,1220,1220,120 VDK CHMM GNGR 750 ML 004023232812,,,,,,,,,,,,,,,462,740,460,643,828,644,873,483,398,797,410,499,999,184,261,354,469,222,,,,,,,,,,,,,,,20,32,20,28,36,28,38,21,19,36,24,22,49,8,11,16,23,12,,,,,,,,,,,,,,,281.35,281.58,275.87,275.88,275.97,276.01,275.94,276.04,251.62,265.88,204.88,270.51,243.73,276.01,284.81,265.45,244.69,221.92,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total US xAOC,ALCOHOL,VODKA,VODKA,1860S VODKA CO,1860S,1860S,1860 VDK 750 ML 009492226895,,,,,,,,,28,28,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337.23,337.23,337.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Total US xAOC,ALCOHOL,VODKA,VODKA,21ST CENTURY SPIRITS LLC,BLUE ICE,BLUE ICE,BL ICE PTT VDK 80 PRF 1750 ML 081519700013,"65,927","68,380","73,351","59,923","68,268","73,996","68,184","61,208","77,110","53,688","73,355","78,346","60,048","55,483","61,983","54,096","51,449","66,163","58,492","51,770","75,315","51,886","55,134","86,025","57,248","55,241","101,239","82,370","86,472","105,742","90,989","81,227","2,260","2,323","2,427","1,997","2,330","2,624","2,369","2,014","2,887","1,874","2,717","3,098","2,385","1,975","2,235","2,022","1,926","2,454","2,294","1,917","3,055","1,826","2,012","3,513","2,205","1,921","3,542","2,916","3,043","3,843","3,476","2,784",150.08,151.43,155.49,154.33,150.72,145.04,148.08,156.33,137.40,147.36,138.88,130.10,129.51,144.49,142.67,137.60,137.38,138.69,131.16,138.89,126.84,146.14,140.97,125.98,133.53,147.90,147.05,145.31,146.17,141.53,134.64,150.11,0.7,0.6,0.5,0.6,0.7,0.6,0.6,0.7,0.6,0.6,0.7,0.7,0.7,0.6,0.6,0.6,0.6,0.6,0.7,0.6,0.6,0.6,0.6,0.7,0.6,0.6,0.7,0.7,0.8,0.8,0.8,0.8
Total US xAOC,ALCOHOL,VODKA,VODKA,21ST CENTURY SPIRITS LLC,BLUE ICE,BLUE ICE,BL ICE PTT VDK 80 PRF 750 ML 001519700012,16,259,213,208,144,155,222,241,121,18,62,109,48,,81,88,34,52,77,28,143,70,32,109,80,114,217,348,373,219,214,407,1,16,13,13,9,10,15,15,7,1,4,7,3,,5,6,2,3,5,2,9,4,2,7,5,7,13,21,22,13,13,25,192.65,194.18,197.02,191.85,191.88,185.95,177.79,192.68,207.43,216.75,186.07,187.70,191.88,,194.13,175.08,203.47,207.88,184.05,166.35,190.01,210.09,191.50,186.50,191.73,195.42,200.25,199.14,203.37,202.10,197.29,194.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total US xAOC,ALCOHOL,VODKA,VODKA,21ST CENTURY SPIRITS LLC,BLUE ICE,BLUE ICE,BL ICE PTT VDK 80 PRF 750 ML 081519700012,"101,283","120,473","150,137","129,208","129,580","168,978","138,580","133,186","160,654","123,708","130,993","161,614","123,455","131,510","163,338","134,932","131,738","178,404","146,963","147,109","178,998","125,476","129,184","186,463","132,628","140,855","236,982","189,325","187,298","254,559","200,516","206,543","5,904","6,939","8,527","7,235","7,424","9,798","8,008","7,539","8,976","6,937","7,462","9,201","7,065","7,442","9,224","7,699","7,559","10,333","8,365","8,422","10,074","7,224","7,296","10,615","7,486","7,950","12,895","10,460","10,466","14,278","11,319","11,899",205.95,208.42,211.36,214.38,209.54,207.03,207.75,212.08,214.86,214.08,210.75,210.87,209.77,212.14,212.59,210.40,209.22,207.26,210.90,209.68,213.30,208.52,212.55,210.88,212.70,212.71,220.62,217.29,214.84,214.03,212.66,208.38,1.7,1.9,1.8,2.0,1.9,1.9,2.0,2.0,2.0,1.9,2.0,2.0,2.0,2.0,2.0,2.1,2.0,2.2,2.2,2.3,2.3,2.2,2.2,2.4,2.3,2.3,2.6,2.7,2.7,2.9,2.9,2.9
Total US xAOC,ALCOHOL,VODKA,VODKA,21ST CENTURY SPIRITS LLC,BLUE ICE,BLUE ICE,BL ICE PTT VDK 80 PRF PLST 50 ML 081519700011,47,50,31,29,47,6,1,,,38,17,43,80,102,109,70,79,108,54,26,48,244,848,310,171,378,349,147,75,121,760,942,37,50,31,29,47,6,1,,,38,17,43,81,103,109,63,64,86,44,23,49,453,938,522,279,484,459,178,133,121,525,664,223.62,176.79,176.38,177.22,176.92,174.71,165.00,,,176.62,177.16,176.64,176.63,176.72,178.26,198.50,221.84,223.78,217.60,197.98,174.77,96.31,161.46,105.99,109.14,139.29,135.66,147.73,100.16,178.93,258.46,253.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
