Total US,BC DEPARTMENT,BC CATEGORY,BC SUB CATEGORY,BRAND OWNER HIGH,BRAND HIGH,BRAND FAMILY,SHORT PRODUCT DESCRIPTION,$Jan 18 - 4 W/E 01/27/18,$Feb 18 - 4 W/E 02/24/18,$Mar 18 - 5 W/E 03/31/18,$Apr 18 - 4 W/E 04/28/18,$May 18 - 4 W/E 05/26/18,$Jun 18 - 5 W/E 06/30/18,$Jul 18 - 4 W/E 07/28/18,$Aug 18 - 4 W/E 08/25/18,$Sep 18 - 5 W/E 09/29/18,$Oct 18 - 4 W/E 10/27/18,$Nov 18 - 4 W/E 11/24/18,$Dec 18 - 5 W/E 12/29/18,$Jan 19 - 4 W/E 01/26/19,$Feb 19 - 4 W/E 02/23/19,$Mar 19 - 5 W/E 03/30/19,$Apr 19 - 4 W/E 04/27/19,$May 19 - 4 W/E 05/25/19,$Jun 19 - 5 W/E 06/29/19,$Jul 19 - 4 W/E 07/27/19,$Aug 19 - 4 W/E 08/24/19,$Sep 19 - 5 W/E 09/28/19,$Oct 19 - 4 W/E 10/26/19,$Nov 19 - 4 W/E 11/23/19,$Dec 19 - 5 W/E 12/28/19,$Jan 20 - 4 W/E 01/25/20,$Feb 20 - 4 W/E 02/22/20,$Mar 20 - 5 W/E 03/28/20,$Apr 20 - 4 W/E 04/25/20,$May 20 - 4 W/E 05/23/20,$Jun 20 - 5 W/E 06/27/20,$Jul 20 - 4 W/E 07/25/20,$Aug 20 - 4 W/E 08/22/20,UnitsJan 18 - 4 W/E 01/27/18,UnitsFeb 18 - 4 W/E 02/24/18,UnitsMar 18 - 5 W/E 03/31/18,UnitsApr 18 - 4 W/E 04/28/18,UnitsMay 18 - 4 W/E 05/26/18,UnitsJun 18 - 5 W/E 06/30/18,UnitsJul 18 - 4 W/E 07/28/18,UnitsAug 18 - 4 W/E 08/25/18,UnitsSep 18 - 5 W/E 09/29/18,UnitsOct 18 - 4 W/E 10/27/18,UnitsNov 18 - 4 W/E 11/24/18,UnitsDec 18 - 5 W/E 12/29/18,UnitsJan 19 - 4 W/E 01/26/19,UnitsFeb 19 - 4 W/E 02/23/19,UnitsMar 19 - 5 W/E 03/30/19,UnitsApr 19 - 4 W/E 04/27/19,UnitsMay 19 - 4 W/E 05/25/19,UnitsJun 19 - 5 W/E 06/29/19,UnitsJul 19 - 4 W/E 07/27/19,UnitsAug 19 - 4 W/E 08/24/19,UnitsSep 19 - 5 W/E 09/28/19,UnitsOct 19 - 4 W/E 10/26/19,UnitsNov 19 - 4 W/E 11/23/19,UnitsDec 19 - 5 W/E 12/28/19,UnitsJan 20 - 4 W/E 01/25/20,UnitsFeb 20 - 4 W/E 02/22/20,UnitsMar 20 - 5 W/E 03/28/20,UnitsApr 20 - 4 W/E 04/25/20,UnitsMay 20 - 4 W/E 05/23/20,UnitsJun 20 - 5 W/E 06/27/20,UnitsJul 20 - 4 W/E 07/25/20,UnitsAug 20 - 4 W/E 08/22/20,Avg EQ PriceJan 18 - 4 W/E 01/27/18,Avg EQ PriceFeb 18 - 4 W/E 02/24/18,Avg EQ PriceMar 18 - 5 W/E 03/31/18,Avg EQ PriceApr 18 - 4 W/E 04/28/18,Avg EQ PriceMay 18 - 4 W/E 05/26/18,Avg EQ PriceJun 18 - 5 W/E 06/30/18,Avg EQ PriceJul 18 - 4 W/E 07/28/18,Avg EQ PriceAug 18 - 4 W/E 08/25/18,Avg EQ PriceSep 18 - 5 W/E 09/29/18,Avg EQ PriceOct 18 - 4 W/E 10/27/18,Avg EQ PriceNov 18 - 4 W/E 11/24/18,Avg EQ PriceDec 18 - 5 W/E 12/29/18,Avg EQ PriceJan 19 - 4 W/E 01/26/19,Avg EQ PriceFeb 19 - 4 W/E 02/23/19,Avg EQ PriceMar 19 - 5 W/E 03/30/19,Avg EQ PriceApr 19 - 4 W/E 04/27/19,Avg EQ PriceMay 19 - 4 W/E 05/25/19,Avg EQ PriceJun 19 - 5 W/E 06/29/19,Avg EQ PriceJul 19 - 4 W/E 07/27/19,Avg EQ PriceAug 19 - 4 W/E 08/24/19,Avg EQ PriceSep 19 - 5 W/E 09/28/19,Avg EQ PriceOct 19 - 4 W/E 10/26/19,Avg EQ PriceNov 19 - 4 W/E 11/23/19,Avg EQ PriceDec 19 - 5 W/E 12/28/19,Avg EQ PriceJan 20 - 4 W/E 01/25/20,Avg EQ PriceFeb 20 - 4 W/E 02/22/20,Avg EQ PriceMar 20 - 5 W/E 03/28/20,Avg EQ PriceApr 20 - 4 W/E 04/25/20,Avg EQ PriceMay 20 - 4 W/E 05/23/20,Avg EQ PriceJun 20 - 5 W/E 06/27/20,Avg EQ PriceJul 20 - 4 W/E 07/25/20,Avg EQ PriceAug 20 - 4 W/E 08/22/20,%ACVJan 18 - 4 W/E 01/27/18,%ACVFeb 18 - 4 W/E 02/24/18,%ACVMar 18 - 5 W/E 03/31/18,%ACVApr 18 - 4 W/E 04/28/18,%ACVMay 18 - 4 W/E 05/26/18,%ACVJun 18 - 5 W/E 06/30/18,%ACVJul 18 - 4 W/E 07/28/18,%ACVAug 18 - 4 W/E 08/25/18,%ACVSep 18 - 5 W/E 09/29/18,%ACVOct 18 - 4 W/E 10/27/18,%ACVNov 18 - 4 W/E 11/24/18,%ACVDec 18 - 5 W/E 12/29/18,%ACVJan 19 - 4 W/E 01/26/19,%ACVFeb 19 - 4 W/E 02/23/19,%ACVMar 19 - 5 W/E 03/30/19,%ACVApr 19 - 4 W/E 04/27/19,%ACVMay 19 - 4 W/E 05/25/19,%ACVJun 19 - 5 W/E 06/29/19,%ACVJul 19 - 4 W/E 07/27/19,%ACVAug 19 - 4 W/E 08/24/19,%ACVSep 19 - 5 W/E 09/28/19,%ACVOct 19 - 4 W/E 10/26/19,%ACVNov 19 - 4 W/E 11/23/19,%ACVDec 19 - 5 W/E 12/28/19,%ACVJan 20 - 4 W/E 01/25/20,%ACVFeb 20 - 4 W/E 02/22/20,%ACVMar 20 - 5 W/E 03/28/20,%ACVApr 20 - 4 W/E 04/25/20,%ACVMay 20 - 4 W/E 05/23/20,%ACVJun 20 - 5 W/E 06/27/20,%ACVJul 20 - 4 W/E 07/25/20,%ACVAug 20 - 4 W/E 08/22/20
,,,,,,,,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV
Total US,BC DEPARTMENT,BC CATEGORY,BC SUB CATEGORY,BRAND OWNER HIGH,BRAND HIGH,BRAND FAMILY,SHORT PRODUCT DESCRIPTION,Jan 18 - 4 W/E 01/27/18,Feb 18 - 4 W/E 02/24/18,Mar 18 - 5 W/E 03/31/18,Apr 18 - 4 W/E 04/28/18,May 18 - 4 W/E 05/26/18,Jun 18 - 5 W/E 06/30/18,Jul 18 - 4 W/E 07/28/18,Aug 18 - 4 W/E 08/25/18,Sep 18 - 5 W/E 09/29/18,Oct 18 - 4 W/E 10/27/18,Nov 18 - 4 W/E 11/24/18,Dec 18 - 5 W/E 12/29/18,Jan 19 - 4 W/E 01/26/19,Feb 19 - 4 W/E 02/23/19,Mar 19 - 5 W/E 03/30/19,Apr 19 - 4 W/E 04/27/19,May 19 - 4 W/E 05/25/19,Jun 19 - 5 W/E 06/29/19,Jul 19 - 4 W/E 07/27/19,Aug 19 - 4 W/E 08/24/19,Sep 19 - 5 W/E 09/28/19,Oct 19 - 4 W/E 10/26/19,Nov 19 - 4 W/E 11/23/19,Dec 19 - 5 W/E 12/28/19,Jan 20 - 4 W/E 01/25/20,Feb 20 - 4 W/E 02/22/20,Mar 20 - 5 W/E 03/28/20,Apr 20 - 4 W/E 04/25/20,May 20 - 4 W/E 05/23/20,Jun 20 - 5 W/E 06/27/20,Jul 20 - 4 W/E 07/25/20,Aug 20 - 4 W/E 08/22/20,Jan 18 - 4 W/E 01/27/18,Feb 18 - 4 W/E 02/24/18,Mar 18 - 5 W/E 03/31/18,Apr 18 - 4 W/E 04/28/18,May 18 - 4 W/E 05/26/18,Jun 18 - 5 W/E 06/30/18,Jul 18 - 4 W/E 07/28/18,Aug 18 - 4 W/E 08/25/18,Sep 18 - 5 W/E 09/29/18,Oct 18 - 4 W/E 10/27/18,Nov 18 - 4 W/E 11/24/18,Dec 18 - 5 W/E 12/29/18,Jan 19 - 4 W/E 01/26/19,Feb 19 - 4 W/E 02/23/19,Mar 19 - 5 W/E 03/30/19,Apr 19 - 4 W/E 04/27/19,May 19 - 4 W/E 05/25/19,Jun 19 - 5 W/E 06/29/19,Jul 19 - 4 W/E 07/27/19,Aug 19 - 4 W/E 08/24/19,Sep 19 - 5 W/E 09/28/19,Oct 19 - 4 W/E 10/26/19,Nov 19 - 4 W/E 11/23/19,Dec 19 - 5 W/E 12/28/19,Jan 20 - 4 W/E 01/25/20,Feb 20 - 4 W/E 02/22/20,Mar 20 - 5 W/E 03/28/20,Apr 20 - 4 W/E 04/25/20,May 20 - 4 W/E 05/23/20,Jun 20 - 5 W/E 06/27/20,Jul 20 - 4 W/E 07/25/20,Aug 20 - 4 W/E 08/22/20,Jan 18 - 4 W/E 01/27/18,Feb 18 - 4 W/E 02/24/18,Mar 18 - 5 W/E 03/31/18,Apr 18 - 4 W/E 04/28/18,May 18 - 4 W/E 05/26/18,Jun 18 - 5 W/E 06/30/18,Jul 18 - 4 W/E 07/28/18,Aug 18 - 4 W/E 08/25/18,Sep 18 - 5 W/E 09/29/18,Oct 18 - 4 W/E 10/27/18,Nov 18 - 4 W/E 11/24/18,Dec 18 - 5 W/E 12/29/18,Jan 19 - 4 W/E 01/26/19,Feb 19 - 4 W/E 02/23/19,Mar 19 - 5 W/E 03/30/19,Apr 19 - 4 W/E 04/27/19,May 19 - 4 W/E 05/25/19,Jun 19 - 5 W/E 06/29/19,Jul 19 - 4 W/E 07/27/19,Aug 19 - 4 W/E 08/24/19,Sep 19 - 5 W/E 09/28/19,Oct 19 - 4 W/E 10/26/19,Nov 19 - 4 W/E 11/23/19,Dec 19 - 5 W/E 12/28/19,Jan 20 - 4 W/E 01/25/20,Feb 20 - 4 W/E 02/22/20,Mar 20 - 5 W/E 03/28/20,Apr 20 - 4 W/E 04/25/20,May 20 - 4 W/E 05/23/20,Jun 20 - 5 W/E 06/27/20,Jul 20 - 4 W/E 07/25/20,Aug 20 - 4 W/E 08/22/20,Jan 18 - 4 W/E 01/27/18,Feb 18 - 4 W/E 02/24/18,Mar 18 - 5 W/E 03/31/18,Apr 18 - 4 W/E 04/28/18,May 18 - 4 W/E 05/26/18,Jun 18 - 5 W/E 06/30/18,Jul 18 - 4 W/E 07/28/18,Aug 18 - 4 W/E 08/25/18,Sep 18 - 5 W/E 09/29/18,Oct 18 - 4 W/E 10/27/18,Nov 18 - 4 W/E 11/24/18,Dec 18 - 5 W/E 12/29/18,Jan 19 - 4 W/E 01/26/19,Feb 19 - 4 W/E 02/23/19,Mar 19 - 5 W/E 03/30/19,Apr 19 - 4 W/E 04/27/19,May 19 - 4 W/E 05/25/19,Jun 19 - 5 W/E 06/29/19,Jul 19 - 4 W/E 07/27/19,Aug 19 - 4 W/E 08/24/19,Sep 19 - 5 W/E 09/28/19,Oct 19 - 4 W/E 10/26/19,Nov 19 - 4 W/E 11/23/19,Dec 19 - 5 W/E 12/28/19,Jan 20 - 4 W/E 01/25/20,Feb 20 - 4 W/E 02/22/20,Mar 20 - 5 W/E 03/28/20,Apr 20 - 4 W/E 04/25/20,May 20 - 4 W/E 05/23/20,Jun 20 - 5 W/E 06/27/20,Jul 20 - 4 W/E 07/25/20,Aug 20 - 4 W/E 08/22/20
Total US xAOC,HEALTH & BEAUTY CARE,CONDOMS,LATEX,B HOLDING GROUP LLC,CLASSIC B CONDOMS,CLASSIC B CONDOMS,CLSC B CND LBRC LTX ML CNDM 12 CT 085028100403,7,,,15,15,,,,15,,30,15,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,1,,2,1,,,,,,,,,,,,,,,,,,,,,0.58,,,1.25,1.25,,,,1.25,,1.25,1.25,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
Total US xAOC,HEALTH & BEAUTY CARE,CONDOMS,LATEX,B HOLDING GROUP LLC,PLATINUM B CONDOMS,PLATINUM B CONDOMS,PLTN B CND LBRC LTX ML CNDM 12 CT 085028100402,,16,,16,,,,,16,,16,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,1.33,,1.33,,,,,1.33,,1.33,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,
Total US xAOC,HEALTH & BEAUTY CARE,CONDOMS,LATEX,"CARDINAL HEALTH, INC.",RUGBY,RUGBY,RGBY LBRC RSRV END LTX ML CNDM 12 CT 030536999512,764,155,"1,647",420,331,874,584,166,492,"1,061",379,"1,851",962,118,"1,828",976,"3,905","1,337","1,215","1,781","2,543",964,"2,248",365,617,189,"1,546",82,170,821,"1,223","5,552",183,37,410,93,76,184,126,38,107,240,81,455,204,31,388,210,758,161,281,337,499,203,486,85,132,48,337,23,46,202,253,"1,218",0.35,0.35,0.34,0.38,0.36,0.40,0.39,0.36,0.38,0.37,0.39,0.34,0.39,0.32,0.39,0.39,0.43,0.69,0.36,0.44,0.42,0.40,0.39,0.36,0.39,0.32,0.38,0.30,0.31,0.34,0.40,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total US xAOC,HEALTH & BEAUTY CARE,CONDOMS,LATEX,CARTER-WALLACE INC,MENTOR,MENTOR MAGNUM,MNTR MGN LBRC LTX ML CNDM 12 CT 008131764212,,,,0,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,4,,,,,,3,,,,,,2,,,,,,,,,,,,,,,,,,,,0.00,,,,,,0.00,,,,,,0.00,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,
Total US xAOC,HEALTH & BEAUTY CARE,CONDOMS,LATEX,"CHURCH & DWIGHT COMPANY, INC.",TROJAN,TROJAN,TRJN ECST PCK VRTY BOX IN WRP 26 CT 002260022890,"58,046","52,218","67,916","57,950","88,019","59,827","32,627","20,809","23,727","15,103","13,877","14,372","15,619","18,529","15,599","8,386","3,148","4,004","2,433","1,544","1,802","1,063",694,519,273,189,272,89,125,118,107,72,"2,518","2,204","2,806","2,477","6,183","3,906","2,072","1,183","1,302",732,643,673,878,"1,335","1,360",812,222,245,149,98,118,71,43,34,16,12,17,6,9,7,5,4,0.89,0.91,0.93,0.90,0.55,0.59,0.61,0.68,0.70,0.79,0.83,0.82,0.68,0.53,0.44,0.40,0.55,0.63,0.63,0.61,0.59,0.58,0.62,0.59,0.66,0.61,0.62,0.57,0.54,0.65,0.83,0.69,1.0,0.9,0.8,0.9,1.5,0.9,0.7,0.6,0.5,0.4,0.4,0.4,0.4,0.6,0.4,0.3,0.2,0.3,0.2,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total US xAOC,HEALTH & BEAUTY CARE,CONDOMS,LATEX,"CHURCH & DWIGHT COMPANY, INC.",TROJAN,TROJAN,TRJN LBRC LTX ML CNDM 12 CT 002260095300,146,126,118,130,229,235,181,271,274,274,324,950,625,465,902,372,353,493,312,416,350,413,208,541,576,280,64,,,6,,,12,12,10,12,21,26,14,25,26,23,27,78,50,36,63,25,26,32,23,26,26,29,15,40,43,19,4,,,1,,,1.01,0.88,0.98,0.90,0.91,0.76,1.08,0.90,0.88,0.99,1.00,1.02,1.04,1.08,1.19,1.24,1.13,1.28,1.13,1.33,1.12,1.19,1.16,1.13,1.12,1.23,1.33,,,0.51,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,
Total US xAOC,HEALTH & BEAUTY CARE,CONDOMS,LATEX,"CHURCH & DWIGHT COMPANY, INC.",TROJAN,TROJAN,TRJN LBRC RBD LTX ML CNDM 3 CT 002260094050,"355,447","360,453","453,669","347,553","358,751","468,405","387,437","380,971","465,392","373,134","365,495","462,901","371,605","363,380","463,601","393,161","429,776","550,949","451,807","442,753","513,194","415,426","416,312","519,951","418,386","416,948","464,234","247,050","279,094","395,493","321,369","322,676","91,990","95,066","118,189","91,271","93,909","122,103","100,753","98,377","122,089","99,508","95,504","120,562","96,939","96,896","122,146","100,918","99,045","121,247","97,437","95,331","112,220","92,412","93,544","114,745","93,683","93,100","102,934","56,134","62,254","87,308","69,943","70,695",1.29,1.26,1.28,1.27,1.27,1.28,1.28,1.29,1.27,1.25,1.28,1.28,1.28,1.25,1.27,1.30,1.45,1.52,1.55,1.55,1.52,1.50,1.48,1.51,1.49,1.49,1.50,1.47,1.49,1.51,1.53,1.52,31.3,32.6,32.6,32.1,32.8,32.7,33.3,32.6,31.8,30.1,29.1,29.2,29.5,29.9,30.1,30.7,30.8,30.9,31.8,32.2,32.8,33.2,32.9,31.6,31.2,31.6,30.0,25.0,26.6,27.7,27.7,27.3
Total US xAOC,HEALTH & BEAUTY CARE,CONDOMS,LATEX,"CHURCH & DWIGHT COMPANY, INC.",TROJAN,TROJAN,TRJN LBRC RBD LTX ML CNDM 36 CT 002260094950,,,26,28,0,54,25,0,,,0,,0,,0,,,,,,,,,,,,,0,,,,0,,,1,1,4,3,1,1,,,2,,1,,1,,,,,,,,,,,,,2,,,,1,,,0.72,0.78,0.00,0.50,0.69,0.00,,,0.00,,0.00,,0.00,,,,,,,,,,,,,0.00,,,,0.00,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,0.0,,,,0.0
