Total US,BC DEPARTMENT,BC CATEGORY,BC SUB CATEGORY,BRAND OWNER HIGH,BRAND HIGH,BRAND FAMILY,SHORT PRODUCT DESCRIPTION,$Jan 18 - 4 W/E 01/27/18,$Feb 18 - 4 W/E 02/24/18,$Mar 18 - 5 W/E 03/31/18,$Apr 18 - 4 W/E 04/28/18,$May 18 - 4 W/E 05/26/18,$Jun 18 - 5 W/E 06/30/18,$Jul 18 - 4 W/E 07/28/18,$Aug 18 - 4 W/E 08/25/18,$Sep 18 - 5 W/E 09/29/18,$Oct 18 - 4 W/E 10/27/18,$Nov 18 - 4 W/E 11/24/18,$Dec 18 - 5 W/E 12/29/18,$Jan 19 - 4 W/E 01/26/19,$Feb 19 - 4 W/E 02/23/19,$Mar 19 - 5 W/E 03/30/19,$Apr 19 - 4 W/E 04/27/19,$May 19 - 4 W/E 05/25/19,$Jun 19 - 5 W/E 06/29/19,$Jul 19 - 4 W/E 07/27/19,$Aug 19 - 4 W/E 08/24/19,$Sep 19 - 5 W/E 09/28/19,$Oct 19 - 4 W/E 10/26/19,$Nov 19 - 4 W/E 11/23/19,$Dec 19 - 5 W/E 12/28/19,$Jan 20 - 4 W/E 01/25/20,$Feb 20 - 4 W/E 02/22/20,$Mar 20 - 5 W/E 03/28/20,$Apr 20 - 4 W/E 04/25/20,$May 20 - 4 W/E 05/23/20,$Jun 20 - 5 W/E 06/27/20,$Jul 20 - 4 W/E 07/25/20,$Aug 20 - 4 W/E 08/22/20,UnitsJan 18 - 4 W/E 01/27/18,UnitsFeb 18 - 4 W/E 02/24/18,UnitsMar 18 - 5 W/E 03/31/18,UnitsApr 18 - 4 W/E 04/28/18,UnitsMay 18 - 4 W/E 05/26/18,UnitsJun 18 - 5 W/E 06/30/18,UnitsJul 18 - 4 W/E 07/28/18,UnitsAug 18 - 4 W/E 08/25/18,UnitsSep 18 - 5 W/E 09/29/18,UnitsOct 18 - 4 W/E 10/27/18,UnitsNov 18 - 4 W/E 11/24/18,UnitsDec 18 - 5 W/E 12/29/18,UnitsJan 19 - 4 W/E 01/26/19,UnitsFeb 19 - 4 W/E 02/23/19,UnitsMar 19 - 5 W/E 03/30/19,UnitsApr 19 - 4 W/E 04/27/19,UnitsMay 19 - 4 W/E 05/25/19,UnitsJun 19 - 5 W/E 06/29/19,UnitsJul 19 - 4 W/E 07/27/19,UnitsAug 19 - 4 W/E 08/24/19,UnitsSep 19 - 5 W/E 09/28/19,UnitsOct 19 - 4 W/E 10/26/19,UnitsNov 19 - 4 W/E 11/23/19,UnitsDec 19 - 5 W/E 12/28/19,UnitsJan 20 - 4 W/E 01/25/20,UnitsFeb 20 - 4 W/E 02/22/20,UnitsMar 20 - 5 W/E 03/28/20,UnitsApr 20 - 4 W/E 04/25/20,UnitsMay 20 - 4 W/E 05/23/20,UnitsJun 20 - 5 W/E 06/27/20,UnitsJul 20 - 4 W/E 07/25/20,UnitsAug 20 - 4 W/E 08/22/20,Avg EQ PriceJan 18 - 4 W/E 01/27/18,Avg EQ PriceFeb 18 - 4 W/E 02/24/18,Avg EQ PriceMar 18 - 5 W/E 03/31/18,Avg EQ PriceApr 18 - 4 W/E 04/28/18,Avg EQ PriceMay 18 - 4 W/E 05/26/18,Avg EQ PriceJun 18 - 5 W/E 06/30/18,Avg EQ PriceJul 18 - 4 W/E 07/28/18,Avg EQ PriceAug 18 - 4 W/E 08/25/18,Avg EQ PriceSep 18 - 5 W/E 09/29/18,Avg EQ PriceOct 18 - 4 W/E 10/27/18,Avg EQ PriceNov 18 - 4 W/E 11/24/18,Avg EQ PriceDec 18 - 5 W/E 12/29/18,Avg EQ PriceJan 19 - 4 W/E 01/26/19,Avg EQ PriceFeb 19 - 4 W/E 02/23/19,Avg EQ PriceMar 19 - 5 W/E 03/30/19,Avg EQ PriceApr 19 - 4 W/E 04/27/19,Avg EQ PriceMay 19 - 4 W/E 05/25/19,Avg EQ PriceJun 19 - 5 W/E 06/29/19,Avg EQ PriceJul 19 - 4 W/E 07/27/19,Avg EQ PriceAug 19 - 4 W/E 08/24/19,Avg EQ PriceSep 19 - 5 W/E 09/28/19,Avg EQ PriceOct 19 - 4 W/E 10/26/19,Avg EQ PriceNov 19 - 4 W/E 11/23/19,Avg EQ PriceDec 19 - 5 W/E 12/28/19,Avg EQ PriceJan 20 - 4 W/E 01/25/20,Avg EQ PriceFeb 20 - 4 W/E 02/22/20,Avg EQ PriceMar 20 - 5 W/E 03/28/20,Avg EQ PriceApr 20 - 4 W/E 04/25/20,Avg EQ PriceMay 20 - 4 W/E 05/23/20,Avg EQ PriceJun 20 - 5 W/E 06/27/20,Avg EQ PriceJul 20 - 4 W/E 07/25/20,Avg EQ PriceAug 20 - 4 W/E 08/22/20,%ACVJan 18 - 4 W/E 01/27/18,%ACVFeb 18 - 4 W/E 02/24/18,%ACVMar 18 - 5 W/E 03/31/18,%ACVApr 18 - 4 W/E 04/28/18,%ACVMay 18 - 4 W/E 05/26/18,%ACVJun 18 - 5 W/E 06/30/18,%ACVJul 18 - 4 W/E 07/28/18,%ACVAug 18 - 4 W/E 08/25/18,%ACVSep 18 - 5 W/E 09/29/18,%ACVOct 18 - 4 W/E 10/27/18,%ACVNov 18 - 4 W/E 11/24/18,%ACVDec 18 - 5 W/E 12/29/18,%ACVJan 19 - 4 W/E 01/26/19,%ACVFeb 19 - 4 W/E 02/23/19,%ACVMar 19 - 5 W/E 03/30/19,%ACVApr 19 - 4 W/E 04/27/19,%ACVMay 19 - 4 W/E 05/25/19,%ACVJun 19 - 5 W/E 06/29/19,%ACVJul 19 - 4 W/E 07/27/19,%ACVAug 19 - 4 W/E 08/24/19,%ACVSep 19 - 5 W/E 09/28/19,%ACVOct 19 - 4 W/E 10/26/19,%ACVNov 19 - 4 W/E 11/23/19,%ACVDec 19 - 5 W/E 12/28/19,%ACVJan 20 - 4 W/E 01/25/20,%ACVFeb 20 - 4 W/E 02/22/20,%ACVMar 20 - 5 W/E 03/28/20,%ACVApr 20 - 4 W/E 04/25/20,%ACVMay 20 - 4 W/E 05/23/20,%ACVJun 20 - 5 W/E 06/27/20,%ACVJul 20 - 4 W/E 07/25/20,%ACVAug 20 - 4 W/E 08/22/20
,,,,,,,,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV
Total US,BC DEPARTMENT,BC CATEGORY,BC SUB CATEGORY,BRAND OWNER HIGH,BRAND HIGH,BRAND FAMILY,SHORT PRODUCT DESCRIPTION,Jan 18 - 4 W/E 01/27/18,Feb 18 - 4 W/E 02/24/18,Mar 18 - 5 W/E 03/31/18,Apr 18 - 4 W/E 04/28/18,May 18 - 4 W/E 05/26/18,Jun 18 - 5 W/E 06/30/18,Jul 18 - 4 W/E 07/28/18,Aug 18 - 4 W/E 08/25/18,Sep 18 - 5 W/E 09/29/18,Oct 18 - 4 W/E 10/27/18,Nov 18 - 4 W/E 11/24/18,Dec 18 - 5 W/E 12/29/18,Jan 19 - 4 W/E 01/26/19,Feb 19 - 4 W/E 02/23/19,Mar 19 - 5 W/E 03/30/19,Apr 19 - 4 W/E 04/27/19,May 19 - 4 W/E 05/25/19,Jun 19 - 5 W/E 06/29/19,Jul 19 - 4 W/E 07/27/19,Aug 19 - 4 W/E 08/24/19,Sep 19 - 5 W/E 09/28/19,Oct 19 - 4 W/E 10/26/19,Nov 19 - 4 W/E 11/23/19,Dec 19 - 5 W/E 12/28/19,Jan 20 - 4 W/E 01/25/20,Feb 20 - 4 W/E 02/22/20,Mar 20 - 5 W/E 03/28/20,Apr 20 - 4 W/E 04/25/20,May 20 - 4 W/E 05/23/20,Jun 20 - 5 W/E 06/27/20,Jul 20 - 4 W/E 07/25/20,Aug 20 - 4 W/E 08/22/20,Jan 18 - 4 W/E 01/27/18,Feb 18 - 4 W/E 02/24/18,Mar 18 - 5 W/E 03/31/18,Apr 18 - 4 W/E 04/28/18,May 18 - 4 W/E 05/26/18,Jun 18 - 5 W/E 06/30/18,Jul 18 - 4 W/E 07/28/18,Aug 18 - 4 W/E 08/25/18,Sep 18 - 5 W/E 09/29/18,Oct 18 - 4 W/E 10/27/18,Nov 18 - 4 W/E 11/24/18,Dec 18 - 5 W/E 12/29/18,Jan 19 - 4 W/E 01/26/19,Feb 19 - 4 W/E 02/23/19,Mar 19 - 5 W/E 03/30/19,Apr 19 - 4 W/E 04/27/19,May 19 - 4 W/E 05/25/19,Jun 19 - 5 W/E 06/29/19,Jul 19 - 4 W/E 07/27/19,Aug 19 - 4 W/E 08/24/19,Sep 19 - 5 W/E 09/28/19,Oct 19 - 4 W/E 10/26/19,Nov 19 - 4 W/E 11/23/19,Dec 19 - 5 W/E 12/28/19,Jan 20 - 4 W/E 01/25/20,Feb 20 - 4 W/E 02/22/20,Mar 20 - 5 W/E 03/28/20,Apr 20 - 4 W/E 04/25/20,May 20 - 4 W/E 05/23/20,Jun 20 - 5 W/E 06/27/20,Jul 20 - 4 W/E 07/25/20,Aug 20 - 4 W/E 08/22/20,Jan 18 - 4 W/E 01/27/18,Feb 18 - 4 W/E 02/24/18,Mar 18 - 5 W/E 03/31/18,Apr 18 - 4 W/E 04/28/18,May 18 - 4 W/E 05/26/18,Jun 18 - 5 W/E 06/30/18,Jul 18 - 4 W/E 07/28/18,Aug 18 - 4 W/E 08/25/18,Sep 18 - 5 W/E 09/29/18,Oct 18 - 4 W/E 10/27/18,Nov 18 - 4 W/E 11/24/18,Dec 18 - 5 W/E 12/29/18,Jan 19 - 4 W/E 01/26/19,Feb 19 - 4 W/E 02/23/19,Mar 19 - 5 W/E 03/30/19,Apr 19 - 4 W/E 04/27/19,May 19 - 4 W/E 05/25/19,Jun 19 - 5 W/E 06/29/19,Jul 19 - 4 W/E 07/27/19,Aug 19 - 4 W/E 08/24/19,Sep 19 - 5 W/E 09/28/19,Oct 19 - 4 W/E 10/26/19,Nov 19 - 4 W/E 11/23/19,Dec 19 - 5 W/E 12/28/19,Jan 20 - 4 W/E 01/25/20,Feb 20 - 4 W/E 02/22/20,Mar 20 - 5 W/E 03/28/20,Apr 20 - 4 W/E 04/25/20,May 20 - 4 W/E 05/23/20,Jun 20 - 5 W/E 06/27/20,Jul 20 - 4 W/E 07/25/20,Aug 20 - 4 W/E 08/22/20,Jan 18 - 4 W/E 01/27/18,Feb 18 - 4 W/E 02/24/18,Mar 18 - 5 W/E 03/31/18,Apr 18 - 4 W/E 04/28/18,May 18 - 4 W/E 05/26/18,Jun 18 - 5 W/E 06/30/18,Jul 18 - 4 W/E 07/28/18,Aug 18 - 4 W/E 08/25/18,Sep 18 - 5 W/E 09/29/18,Oct 18 - 4 W/E 10/27/18,Nov 18 - 4 W/E 11/24/18,Dec 18 - 5 W/E 12/29/18,Jan 19 - 4 W/E 01/26/19,Feb 19 - 4 W/E 02/23/19,Mar 19 - 5 W/E 03/30/19,Apr 19 - 4 W/E 04/27/19,May 19 - 4 W/E 05/25/19,Jun 19 - 5 W/E 06/29/19,Jul 19 - 4 W/E 07/27/19,Aug 19 - 4 W/E 08/24/19,Sep 19 - 5 W/E 09/28/19,Oct 19 - 4 W/E 10/26/19,Nov 19 - 4 W/E 11/23/19,Dec 19 - 5 W/E 12/28/19,Jan 20 - 4 W/E 01/25/20,Feb 20 - 4 W/E 02/22/20,Mar 20 - 5 W/E 03/28/20,Apr 20 - 4 W/E 04/25/20,May 20 - 4 W/E 05/23/20,Jun 20 - 5 W/E 06/27/20,Jul 20 - 4 W/E 07/25/20,Aug 20 - 4 W/E 08/22/20
Total US xAOC,HEALTH & BEAUTY CARE,FEMALE CONTRACEPTIVES,CONDOM,THE FEMALE HEALTH COMPANY,FC2,FC2,FC2 CNDM NO APLC FML CNTR BOX 3 CT 009492227159,1,3,2,1,2,1,,1,,4,2,2,,,,,,,,,,,,,,,,,,,,,1,1,2,1,1,1,,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,0.23,1.16,0.38,0.23,0.58,0.50,,0.26,,1.30,0.62,0.62,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
Total US xAOC,HEALTH & BEAUTY CARE,FEMALE CONTRACEPTIVES,CONDOM,THE FEMALE HEALTH COMPANY,FC2,FC2,FC2 CNDM NO APLC FML CNTR BOX 3 CT 086178300011,19,19,14,15,12,,0,0,21,,4,22,,,1,12,7,,,,,6,,,,,,,,,,,7,9,11,5,3,,2,1,4,,2,4,,,1,2,2,,,,,2,,,,,,,,,,,0.91,0.69,0.42,0.98,1.33,,0.07,0.07,1.71,,0.62,1.80,,,0.20,2.00,1.21,,,,,1.00,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,,,,0.0,,,,,,,,,,
Total US xAOC,HEALTH & BEAUTY CARE,FEMALE CONTRACEPTIVES,FILM,APOTHECUS PHARMACEUTICAL CORP,VCF,VCF,VCF FLM DSPS NO APLC FML CNTR BOX 12 CT 004872300111,,,0,,0,0,,,,0,0,7,0,,,0,,,,,,,,,,,,,,,,,,,3,,1,1,,,,1,1,1,1,,,1,,,,,,,,,,,,,,,,,,,0.00,,0.00,0.00,,,,0.00,0.00,0.58,0.00,,,0.00,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,
Total US xAOC,HEALTH & BEAUTY CARE,FEMALE CONTRACEPTIVES,FILM,APOTHECUS PHARMACEUTICAL CORP,VCF,VCF,VCF FLM NO APLC FML CNTR BOX 6 CT 004872300666,6,6,,,,13,,,6,87,,,13,6,6,,,,,,,,,,,,,,,,,,1,1,,,,2,,,1,14,,,2,1,1,,,,,,,,,,,,,,,,,,1.08,1.08,,,,1.08,,,1.08,1.05,,,1.08,1.08,1.08,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
Total US xAOC,HEALTH & BEAUTY CARE,FEMALE CONTRACEPTIVES,FILM,APOTHECUS PHARMACEUTICAL CORP,VCF,VCF,VCF FLM NO APLC FML CNTR BOX 9 CT 004872300999,"217,655","223,663","268,007","194,450","187,084","240,429","200,808","189,276","233,306","191,170","189,146","232,646","193,786","193,623","242,538","183,443","185,284","233,189","181,741","190,222","213,774","180,732","164,040","199,256","168,651","175,048","221,714","149,335","173,420","208,123","173,436","160,706","17,591","18,231","22,125","16,717","16,164","21,687","18,854","17,329","20,844","16,581","16,341","19,940","16,540","16,402","20,597","15,564","15,375","19,272","15,293","15,715","17,723","14,565","13,575","16,521","13,948","14,471","18,690","12,514","14,215","16,917","13,918","13,091",1.38,1.36,1.35,1.29,1.29,1.23,1.18,1.21,1.24,1.28,1.29,1.30,1.30,1.31,1.31,1.31,1.34,1.34,1.32,1.35,1.34,1.38,1.34,1.34,1.34,1.34,1.32,1.33,1.36,1.37,1.39,1.36,14.2,14.8,14.8,14.9,14.6,14.8,15.1,14.4,13.9,14.4,14.6,14.3,14.8,14.6,14.7,14.2,14.0,13.9,14.0,13.8,12.7,12.5,12.2,12.1,12.5,12.9,13.3,11.0,11.6,11.4,11.6,11.4
Total US xAOC,HEALTH & BEAUTY CARE,FEMALE CONTRACEPTIVES,FOAM,APOTHECUS PHARMACEUTICAL CORP,VCF,VCF,VCF FM APLC FML CNTR CAN 0.9 OZ 004872322319,26,44,25,46,132,41,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,4,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,14.38,16.43,13.97,12.74,14.71,15.06,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Total US xAOC,HEALTH & BEAUTY CARE,FEMALE CONTRACEPTIVES,FOAM,APOTHECUS PHARMACEUTICAL CORP,VCF,VCF,VCF FM APLC FML CNTR CAN IN BOX 0.6 OZ 004872382891,"28,825","32,919","42,791","32,092","34,167","48,628","33,444","29,029","29,792","17,047","14,952","16,408","13,934","13,565","17,555","13,605","13,555","18,384","13,858","12,849","17,724","11,395","12,925","11,838","7,047","4,077","1,536",728,934,709,454,514,"2,757","3,102","3,985","3,030","2,754","3,739","2,603","2,291","2,459","1,460","1,356","1,488","1,255","1,232","1,615","1,235","1,244","1,628","1,264","1,183","1,579","1,040","1,173","1,020",816,756,385,136,158,100,51,57,17.43,17.69,17.90,17.65,20.68,21.68,21.41,21.12,20.19,19.46,18.38,18.38,18.51,18.35,18.12,18.36,18.16,18.82,18.27,18.10,18.70,18.26,18.37,19.35,14.39,8.99,6.65,8.92,9.86,11.81,14.84,15.02,2.6,2.9,2.8,2.8,2.5,2.4,2.4,2.2,2.2,1.9,2.0,1.8,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.8,1.8,1.6,1.6,1.2,1.1,0.9,0.3,0.1,0.1,0.1,0.0,0.0
Total US xAOC,HEALTH & BEAUTY CARE,FEMALE CONTRACEPTIVES,GEL,APOTHECUS PHARMACEUTICAL CORP,VCF,VCF,VCF GEL PRE FLD APLC FML CNTR BOX 0.9 OZ 004872310531,"137,029","150,215","208,572","163,878","171,318","215,814","184,504","174,340","227,671","198,589","200,160","237,054","201,809","207,722","271,358","204,757","209,614","264,257","206,609","209,507","251,217","194,053","199,608","250,977","207,671","205,198","293,649","211,409","198,998","270,870","232,208","222,410","10,573","11,602","16,088","12,562","13,331","17,021","14,607","14,103","18,059","15,437","15,543","18,715","15,835","16,154","20,847","15,879","16,173","20,362","16,339","16,316","19,529","15,146","15,414","19,350","16,051","16,042","22,804","16,270","15,546","20,572","17,532","16,793",14.40,14.39,14.41,14.50,14.28,14.09,14.04,13.74,14.01,14.29,14.31,14.07,14.16,14.29,14.46,14.33,14.40,14.42,14.05,14.27,14.29,14.24,14.39,14.41,14.38,14.21,14.31,14.44,14.22,14.63,14.72,14.72,11.3,12.2,13.1,12.8,13.3,13.8,14.3,14.1,13.9,13.9,13.9,13.9,14.4,14.6,14.7,14.6,14.5,14.7,15.3,14.9,14.3,14.3,14.1,14.0,14.4,14.7,15.6,13.8,13.9,13.9,14.5,14.0
